"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"113,226,327,522,653,764,880",104.369195557848,"108,238,330,517,661,779,872",88.2677560222152,"101,235,335,513,657,775,885",114.587449388906,"101,235,335,513,657,775,885",89.9351633512027,1,"101,235,335,513,657,775,885",89.93516,0.056,0.058,0.058,0.058
"748",117.732286758447,"745",113.31223900798,"698,745",124.615498368124,"745",114.213531545071,2,"745",113.35035,0.003,1.003,0.003,0.003
"115,264,372,482,662,895",49.4675917750758,"125,256,418,419,685,895",24.3259087342573,"123,255,384,475,681,891,894",49.8331832072549,"123,255,384,475,681,894",34.2826983167452,2,"123,255,384,475,681,894",34.28269,0.15,1.056,0.056,0.056
"417,531,682,816",56.3346097575312,"398,552,698,812",43.8128682217271,"282,380,422,551,691,696,815,901",72.676529796775,"380,551,696,815",44.9593980540622,2,"380,551,696,815",44.62039,0.06,4.035,0.072,0.072
"103,225,369,562,682,895",49.7361467025923,"109,225,351,592,696,905",27.6488283677909,"107,224,244,351,550,606,698,711,903",50.4101870169371,"107,224,351,550,606,698,903",32.4990135353429,3,"107,224,351,550,606,698,903",32.09643,0.078,3.059,1.059,1.059
"238,365,492,601,764,865",81.7439055363664,"257,354,502,617,744,866",71.756261066566,"226,356,500,616,744,866",83.8284407979891,"226,356,500,616,744,866",72.6189306908858,1,"226,356,500,616,744,866",72.61893,0.077,0.065,0.065,0.065
"135,358,503,604,769",64.8534579024227,"143,348,504,597,763",58.0336233909808,"142,144,328,347,479,615,764,788",97.2819596381052,"142,328,347,479,615,764",66.7318596223233,6,"142,347,479,615,764",59.82519,0.032,3.058,1.058,0.058
"116,278,422,549,701,847",57.9010736543055,"128,272,424,558,715,839",49.8387049515692,"83,127,128,240,287,422,557,712,843",76.0183192187752,"127,240,287,422,557,712,843",54.770263829633,2,"127,240,287,422,557,712,843",54.65298,0.051,3.043,1.043,1.043
"361,693,844",52.2620945503425,"352,690,843",46.1739958111125,"326,365,675,846",63.8163148516636,"326,365,675,846",53.5499201444593,3,"365,675,846",48.99838,0.013,1.024,1.024,0.024
"557,676,783",99.8448053579055,"559,704,782",91.4524422751572,"199,554,696,796,804",108.281945794404,"554,696,804",93.7494504672603,7,"554,696,804",93.37424,0.031,2.036,0.044,0.044
"202,333,530,703",103.449395165441,"216,323,515,696",91.6742530914094,"184,341,514,700,718",111.205201065218,"184,341,514,700",94.3172746818333,2,"184,341,514,700",94.31481,0.046,1.045,0.045,0.045
"138,289,567,721,836",91.491401702377,"159,283,562,716,853",82.9214379738375,"103,157,285,321,536,562,715,855",107.274793717363,"157,285,536,562,715,855",89.5820063598994,3,"157,285,562,715,855",83.30393,0.054,3.053,1.053,0.053
"111,247,362,534,644,791",71.8810773204672,"129,299,338,518,644,812",46.8300599310795,"128,244,368,387,513,650,812,846",79.5350618397069,"128,244,368,513,650,812",53.1890432997156,2,"128,244,368,513,650,812",51.42014,0.131,2.074,0.074,0.074
"126,247,369,505,614,782,888",-4.25475595082027,"149,224,376,513,613,816,817",-21.7012766185887,"99,126,234,374,507,625,631,763,786,893",22.9484514446323,"126,234,374,507,625,763,786,893",-10.8993896328205,3,"126,234,374,507,625,786,893",-17.53082,0.167,3.04,1.04,0.04
"190,405,553,710,834",99.1581068920292,"185,387,578,713,848",87.1055235729899,"183,386,563,712,853",93.8044005089142,"183,386,563,712,853",87.4173430119063,4,"183,386,563,712,853",87.41302,0.065,0.057,0.057,0.057
"170,318,736,864",59.4938624005683,"169,323,753,837",52.4004030549872,"158,342,486,721,873",74.8611489971155,"158,342,721,873",57.1836707981652,2,"158,342,721,873",57.15203,0.05,1.06,0.06,0.06
"475,651",41.7643281936083,"454,666",32.5188995898003,"436,669,681",44.7476689613119,"436,681",35.4683341574114,2,"436,681",35.46725,0.036,1.057,0.069,0.069
