"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"252,502,752",204.062851998187,"244,483,745",194.01948766239,"238,482,500,746",222.727096790995,"238,482,746",194.503090388729,2,"238,482,746",194.50255,0.034,1.022,0.04,0.04
"252,502,752",75.9853080688035,"224,512,747",44.4140908280193,"222,509,752",75.9853080688035,"222,509,752",75.9853080688035,1,"222,509,752",75.98531,0.043,0.037,0.037,0.037
"252,502,752",75.9853080688035,"245,499,742",52.7574167676736,"218,256,497,747",96.7085739057499,"218,256,497,747",96.7085739057499,2,"256,497,747",75.98531,0.02,1.014,1.014,0.014
"252,502,752",95.2045378887445,"241,503,742",90.5960821459155,"238,498,532,751",120.553612998302,"238,498,751",91.1480130949123,2,"238,498,751",91.14535,0.022,1.019,0.019,0.019
"252,502,752",110.033091990973,"245,500,741",106.359731247281,"235,254,499,705,765",145.463766252328,"235,499,765",114.609750974725,2,"235,499,765",110.31645,0.02,2.018,0.033,0.033
"252,502,752",134.599818756188,"264,505,751",126.314676832535,"251,505,752,771",168.523629085278,"251,505,752",127.607400837141,2,"251,505,752",127.60734,0.016,1.004,0.004,0.004
"252,502,752",101.24092378727,"256,501,751",90.7671698089804,"247,500,502,755",129.582776181772,"247,502,755",92.1839073138545,2,"247,502,755",92.18366,0.006,1.008,0.008,0.008
"252,502,752",104.659486570535,"259,484,761",102.576996330337,"250,475,500,761",134.863176980019,"250,500,761",104.14790342545,2,"250,500,761",104.02644,0.034,1.013,0.013,0.013
"252,502,752",75.9853080688035,"251,524,736",44.9730892997753,"249,520,717,768",96.7085739057499,"249,520,717,768",96.7085739057499,2,"249,520,717",75.98531,0.039,1.037,1.037,0.056
"252,502,752",116.095550111357,"251,504,752",112.313363027923,"161,253,503,749,875",147.3506301909,"253,503,749",113.359732324273,2,"253,503,749",112.56305,0.003,2.005,0.005,0.005
"252,502,752",124.846553382187,"240,513,752",118.197620735187,"238,509,745,788",147.520075211085,"238,509,745,788",136.730723202461,3,"238,509,745",119.12787,0.023,1.028,1.028,0.028
"252,502,752",75.9853080688035,"245,506,740",56.9822235708966,"234,501,752,767",122.585530037838,"234,501,752",75.9853080688035,1,"234,501,752",75.98531,0.023,1.019,0.019,0.019
"252,502,752",75.9853080688035,"259,492,757",32.8049459032376,"252,493,759,766",96.7085739057499,"252,493,759",75.9853080688035,1,"252,493,759",75.98531,0.022,1.016,0.016,0.016
"252,502,752",75.9853080688035,"248,514,769",61.4515435499051,"238,512,771",92.7586945036255,"238,512,771",75.9853080688035,1,"238,512,771",75.98531,0.033,0.043,0.043,0.043
"252,502,752",75.9853080688035,"252,508,747",62.8526036388342,"243,501,505,758",108.821626988023,"243,505,758",75.9853080688035,1,"243,505,758",75.98531,0.011,1.016,0.018,0.018
"252,502,752",75.9853080688035,"251,510,758",62.3929673343963,"206,250,508,753,783",117.431839742696,"250,508,753",75.9853080688035,1,"250,508,753",75.98531,0.015,2.009,0.009,0.009
"252,502,752",75.9853080688035,"248,502,751",-57.7053445155788,"237,500,764",75.9853080688035,"237,500,764",75.9853080688035,1,"237,500,764",75.98531,0.005,0.029,0.029,0.029
"252,502,752",75.9853080688035,"260,494,745",22.9984515204391,"231,248,494,765,780",117.431839742696,"248,494,765",75.9853080688035,1,"248,494,765",75.98531,0.023,2.025,0.025,0.025
"252,502,752",75.9853080688035,"238,562,566,738",56.9408725772335,"236,504,742",83.1545101489149,"236,504,742",75.9853080688035,1,"236,504,742",75.98531,1.088,0.028,0.028,0.028
"252,502,752",75.9853080688035,"245,512,743",64.8317610122235,"230,506,751",114.652790253616,"230,506,751",75.9853080688035,1,"230,506,751",75.98531,0.026,0.027,0.027,0.027
"252,502,752",115.844179551835,"233,514,745",106.933524225701,"228,509,755",128.323796236945,"228,509,755",108.399455710829,1,"228,509,755",108.39946,0.038,0.034,0.034,0.034
"252,502,752",75.9853080688035,"256,504,760",29.2341741482799,"246,503,504,765",96.7085739057499,"246,503,765",75.9853080688035,1,"246,503,765",75.98531,0.014,1.02,0.02,0.02
